1014	0
060	1
020	2
014	3
036	4
040	5
042	6
043	7
046	8
080	9
100	10
112	11
1123	12
130	13
141	14
173	15
1821	16
190	17
181	18
055	19
051	20
010	21
0874	22
012	23
013	24
050	25
071	26
0841	27
090	28
110	29
111	30
114	31
115	32
128	33
160	34
182	35
191	36
192	37
193	38
061	39
081	40
180	41
172	42
0331	43
120	44
084	45
033	46
174	47
070	48
030	49
017	50
1124	51
186	52
057	53
143	54
170	55
015	56
032	57
1233	58
011	59
026	60
027	61
031	62
044	63
072	64
0862	65
129	66
144	67
175	68
016	69
145	70
021	71
035	72
113	73
138	74
018	75
025	76
0344	77
073	78
1712	79
1822	80
023	81
0353	82
0831	83
0871	84
0356	85
124	86
163	87
125	88
1383	89
0214	90
083	91
154	92
1724	93
166	94
0231	95
0332	96
091	97
122	98
082	99
194	100
1121	101
052	102
161	103
062	104
1723	105
195	106
0333	107
085	108
150	109
0311	110
1823	111
022	112
1043	113
171	114
1053	115
203	116
1711	117
0241	118
045	119
140	120
0234	121
0833	122
131	123
1721	124
151	125
1243	126
1241	127
075	128
0873	129
101	130
1013	131
041	132
164	133
153	134
1722	135
074	136
053	137
056	138
0213	139
086	140
087	141
133	142
028	143
134	144
0842	145
037	146
1246	147
064	148
152	149
0834	150
0232	151
0334	152
1412	153
0253	154
054	155
139	156
1312	157
024	158
034	159
162	160
127	161
102	162
121	163
201	164
1384	165
0211	166
0256	167
019	168
092	169
0233	170
039	171
185	172
063	173
1125	174
038	175
0813	176
106	177
1313	178
1411	179
183	180
202	181
142	182
1056	183
0341	184
0312	185
0314	186
1041	187
0243	188
123	189
1122	190
